ip	asn	bgp_prefix	cc	registry	allocated	as_org
4.154.75.31	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.75.64	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.77.239	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.128.203	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.129.122	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.130.85	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.137.180	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.137.190	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.137.204	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.140.12	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.140.18	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.176.155	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.179.142	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.185.202	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.190.22	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.190.170	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.190.186	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.191.46	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.191.82	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.191.125	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.191.145	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.154.191.152	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.37.197	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.37.222	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.37.252	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.39.86	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.39.112	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.39.150	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.97.65	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.105.24	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.105.55	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.106.135	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.106.151	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.155.208.155	8075	4.144.0.0/12	US	arin	2019-10-04	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.0.128	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.0.179	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.1.19	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.1.130	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.1.207	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.2.107	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.3.158	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.3.169	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.3.213	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.4.55	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.4.81	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.4.193	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.5.142	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.5.166	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.6.87	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.6.156	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
4.227.6.159	8075	4.224.0.0/12	US	arin	2021-01-06	MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
