host,alias,short_url,status,location,sources,labels,first_seen,api_status,api_body
da.gd,9LV9J,https://da.gd/9LV9J,,,vanderbi.lt-referrer,,2026-06-18 13:52:45,200,https://jqp.vercel.app/api/v0?jq=%7Bs%3A%22sec.gov%2Ffiles%2Fcounty.json%22%2Cy%3A2019%2Cd%3A%5B.regCF_county_2019%5B%5D%7Cselect%28.code%7Ctest%28%22ma-0%22%29%29%7C%5B.code%2C+%28.usd%2F10%7Cround%2F100%29%5D%5D%7D&url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ff
da.gd,9kqJYS,https://da.gd/9kqJYS,302,https://unctadstat.unctad.org/Nowcasts/x_merch_val/x_merch_val-2021-1.csv,vanderbi.lt-target,,2026-06-20 17:04:27,200,https://unctadstat.unctad.org/Nowcasts/x_merch_val/x_merch_val-2021-1.csv 
da.gd,A7Osh,https://da.gd/A7Osh,,,vanderbi.lt-referrer,,2026-05-25 07:25:43,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%253A%252F%252Fwww.sec.gov%252Ffiles%252Fcounty.json&jq=.regCF_county_2019%5B46%3A52%5D 
da.gd,AIkxw,https://da.gd/AIkxw,302,"https://jqp.vercel.app/api/v0?jq={s:.status.url,extract:(.contents|split(""\n"")|.[370:410])}&url=https://www.sec.gov/modules/custom/sec_custom_blocks/js/oasb_raising_capital_map/main.js?v=1.2",wiki-db,AgentSECCountyLinker99172;GuestResearch1823,2026-06-18T17:51:57Z,200,"https://jqp.vercel.app/api/v0?jq={s:.status.url,extract:(.contents|split(""\n"")|.[370:410])}&url=https://www.sec.gov/modules/custom/sec_custom_blocks/js/oasb_raising_capital_map/main.js?v=1.2 "
da.gd,AUuBE,https://da.gd/AUuBE,,,vanderbi.lt-referrer,,2026-06-18 13:52:45,200,https://jqp.vercel.app/api/v0?jq=%5B.regCF_county_2020%5B%5D%7Cselect%28.code%7Cstartswith%28%22us-ma-%22%29%29%5D&url=https%3A%2F%2Fallorigins.hexlet.app%2Fraw%3Furl%3Dhttps%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json 
da.gd,Biim,https://da.gd/Biim,,,vanderbi.lt-referrer,,2026-06-18 09:53:56,200,https://api.census.gov/data/2020/cps/asec/mar?tabulate=weight(MARSUPWT)&row+A_MARITL&for=state:05&key=5fbaa5725148859f644e88cd2c738b394616a684 
da.gd,C9,https://da.gd/C9,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://allorigins.hexlet.app/raw?url=https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json 
da.gd,CEBl,https://da.gd/CEBl,,,vanderbi.lt-referrer,,2026-06-18 11:53:30,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FSECcountyM&jq=%5B.regCF_county_2019%5B%5D%7Cselect%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%7C%5B.code%2C%28%28.usd%2F10%29%7Cround%2F100%29%5D%5D 
da.gd,CFbzYi,https://da.gd/CFbzYi,,,vanderbi.lt-referrer,,2026-06-18 09:53:56,200,https://api.census.gov/data/2019/cps/asec/mar?tabulate=weight(MARSUPWT)&row+A_MARITL&for=state:05&key=5fbaa5725148859f644e88cd2c738b394616a684 
da.gd,CXTAty,https://da.gd/CXTAty,,,vanderbi.lt-referrer,,2026-06-17 04:23:57,200,https://md.succ.ai/?url=https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json 
da.gd,Ccpj,https://da.gd/Ccpj,,,vanderbi.lt-referrer,,2026-06-18 11:53:32,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FSECcountyM&jq=%5B.regCF_county_2021%5B%5D%7Cselect%28.code%5B3%3A5%5D%3D%3D%22ma%22%29%7C%5B.code%2C%28%28.usd%2F10%29%7Cround%2F100%29%5D%5D 
