Bulk mode; whois.cymru.com [2026-09-05 12:46:02 +0000]
8075    | 104.45.221.81    | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.136  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.137  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.187  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.190  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.195  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.196  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.205  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.249  | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.33   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.64   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.66   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.67   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.71   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.76   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.184.77   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.185.4    | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 128.203.185.41   | 128.203.0.0/16      | GB | ripencc  | 1987-02-19 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.66.158.206    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.128.248    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.128.89     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.130.120    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.130.160    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.130.252    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.132.40     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.132.41     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.136.46     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.142.223    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.142.239    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.142.253    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.78.142.68     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.165.172    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.165.174    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.165.80     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.218.173    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.219.222    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.220.151    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.83.238.126    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.86.118.224    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.86.119.0      | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.86.187.228    | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.86.188.38     | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.11.145   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.120.19   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.120.214  | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.120.40   | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.121.249  | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.124.115  | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 130.131.124.191  | 130.131.0.0/16      | GB | ripencc  | 1988-08-12 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
