capture_ts,captured_url,http_status,db_page,db_wiki,db_first_write,db_last_write,deleted_live,n_revisions
20260518070011,https://www.wikiservice.at/esf/wiki.cgi?StartSeite,200,StartSeite,dse,2026-05-26T11:27:48Z,2026-06-22T19:28:18Z,0,456
20260518070011,https://www.wikiservice.at/esf/wiki.cgi?StartSeite,200,StartSeite,probier,2026-05-26T14:14:20Z,2026-05-26T14:14:20Z,0,1
20260518070011,https://www.wikiservice.at/esf/wiki.cgi?StartSeite,200,Startseite,dse,2026-06-20T21:32:10Z,2026-06-20T21:32:10Z,0,1
20260518071000,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=3,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518071046,https://www.wikiservice.at/wikiservice/wiki.cgi?StartSeite,200,StartSeite,dse,2026-05-26T11:27:48Z,2026-06-22T19:28:18Z,0,456
20260518071046,https://www.wikiservice.at/wikiservice/wiki.cgi?StartSeite,200,StartSeite,probier,2026-05-26T14:14:20Z,2026-05-26T14:14:20Z,0,1
20260518071046,https://www.wikiservice.at/wikiservice/wiki.cgi?StartSeite,200,Startseite,dse,2026-06-20T21:32:10Z,2026-06-20T21:32:10Z,0,1
20260518071139,https://www.wikiservice.at/prowiki/wiki.cgi?action=edit&id=Context&section=7,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518145039,https://wikiservice.at/prowiki/wiki.cgi?BugReports/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518150332,https://wikiservice.at/support/wiki.cgi?action=browse&id=TestSeite/TestSeite/TestSeite/UrSprung2/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518151647,https://wikiservice.at/support/wiki.cgi?SeiteMitLeseUndSchreibschutz/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518152103,https://wikiservice.at/fractal/wiki.cgi?EN/P2PVenture/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518154607,https://wikiservice.at/fractal/wiki.cgi?FR/TitrePageChang%E9/PasDeTitre/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518155022,https://wikiservice.at/prowiki/wiki.cgi?action=browse&id=RecentChanges&days=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518155022,https://wikiservice.at/prowiki/wiki.cgi?action=browse&id=RecentChanges&days=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518155022,https://wikiservice.at/prowiki/wiki.cgi?action=browse&id=RecentChanges&days=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518155118,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/PierreBernard/RecentChanges&days=30,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518155118,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/PierreBernard/RecentChanges&days=30,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518155118,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/PierreBernard/RecentChanges&days=30,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518155848,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/Tontine/Context&section=6,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518160210,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&lang=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518160210,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&lang=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518160210,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RecentChanges&lang=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518160532,https://wikiservice.at/support/wiki.cgi?action=edit&id=TestSeite&section=12,200,TestSeite,dse,2026-05-26T14:31:27Z,2026-06-22T08:42:22Z,0,238
20260518161005,https://wikiservice.at/prowiki/wiki.cgi?ChangedPageTitle/NoTitle/Context,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260518161418,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/Agr%E9gateurFractal/RecentChanges&days=30,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
