capture_ts,captured_url,status,page_id
20260607195221,https://www.wikiservice.at/gruender/wiki.cgi?Forum/Archiv2004August,200,Forum/Archiv2004August
20260607195455,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2006,200,WikiSym2006
20260607200406,https://www.wikiservice.at/gruender/wiki.cgi?ProjektStadtUndInternet/KonzeptionelleGrundlagenTechnischeWorkshops,200,ProjektStadtUndInternet/KonzeptionelleGrundlagenTechnischeWorkshops
20260607202055,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2006/Teilnehmer,200,WikiSym2006/Teilnehmer
20260607202627,https://www.wikiservice.at/gruender/wiki.cgi?WikiVeranstaltungen/Archiv2006,200,WikiVeranstaltungen/Archiv2006
20260607202645,https://prowiki.org/prowiki/wiki.cgi?CdmlCalendar/202705,200,CdmlCalendar/202705
20260607204611,https://www.wikiservice.at/gruender/wiki.cgi?WikiPosium2005,200,WikiPosium2005
20260608111539,https://wikiservice.at/fractal/wiki.cgi?action=editprefs&lang=2&oldid=FR/ParisCarnet/ArchivesJuillet2004&id=FR/ParisCarnet/ArchivesJuillet2004,200,FR/ParisCarnet/ArchivesJuillet2004
20260608114656,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/BarCamp/BarCampBank/ForumArchives/Novembre2006&section=7,200,FR/BarCamp/BarCampBank/ForumArchives/Novembre2006
20260608114952,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/WikiSyntaxe/ElementsCdml/CdmlCalendar/200412&section=2,200,FR/WikiSyntaxe/ElementsCdml/CdmlCalendar/200412
20260608115253,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=FR/CdmlCalendar/200604&link=ProWikiSoftware,200,FR/CdmlCalendar/200604
20260609110619,https://prowiki.org/dse/wiki.cgi?UniqueNameQop,200,UniqueNameQop
20260609112506,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ25591,200,DataRefHelperZZ25591
20260609112637,https://prowiki.org/dse/wiki.cgi?AgentClarkHelperQ90331,200,AgentClarkHelperQ90331
20260609112920,https://prowiki.org/dse/wiki.cgi?AgentTwentyTwo,200,AgentTwentyTwo
20260609113232,https://prowiki.org/dse/wiki.cgi?ClarkResearcher,200,ClarkResearcher
20260609114007,https://prowiki.org/dse/wiki.cgi?DataUser14471,200,DataUser14471
20260609114059,https://prowiki.org/dse/wiki.cgi?PureLinksHelper8173,200,PureLinksHelper8173
20260609114149,https://prowiki.org/dse/wiki.cgi?AgentBudgetHelpQX3,200,AgentBudgetHelpQX3
20260609114407,https://prowiki.org/dse/wiki.cgi?EconHelperAgentData2,200,EconHelperAgentData2
20260609114902,https://prowiki.org/dse/wiki.cgi?DataUser59299,200,DataUser59299
20260609114943,https://prowiki.org/dse/wiki.cgi?AgentDPLARefAgentZQ,200,AgentDPLARefAgentZQ
20260609115100,https://prowiki.org/dse/wiki.cgi?Agent0TrySave,200,Agent0TrySave
20260609115637,https://prowiki.org/dse/wiki.cgi?ResearchTmpBridge777,200,ResearchTmpBridge777
20260609115709,https://prowiki.org/dse/wiki.cgi?AgentClarkUsable88912,200,AgentClarkUsable88912
20260609115742,https://prowiki.org/dse/wiki.cgi?DataUser81389,200,DataUser81389
20260609120223,https://prowiki.org/dse/wiki.cgi?AgentTestUser,200,AgentTestUser
20260609120351,https://prowiki.org/dse/wiki.cgi?AgentNumAgent2,200,AgentNumAgent2
20260609120650,https://prowiki.org/dse/wiki.cgi?AgentResC1779978638,200,AgentResC1779978638
20260609121140,https://prowiki.org/dse/wiki.cgi?PublicRefAgent75464,200,PublicRefAgent75464
20260609121206,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ75549,200,DataRefHelperZZ75549
20260609121231,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ80315,200,DataRefHelperZZ80315
20260609121324,https://prowiki.org/dse/wiki.cgi?AgentCatalogLibraryHelperM,200,AgentCatalogLibraryHelperM
20260609121630,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ84438,200,DataRefHelperZZ84438
20260609121834,https://prowiki.org/dse/wiki.cgi?WebResearchHelperZZ2069,200,WebResearchHelperZZ2069
20260609122010,https://prowiki.org/dse/wiki.cgi?AgentFlow1779871603,200,AgentFlow1779871603
20260609122219,https://prowiki.org/dse/wiki.cgi?CitationHelperK90928,200,CitationHelperK90928
20260609122509,https://prowiki.org/dse/wiki.cgi?MyClarkSourceReader,200,MyClarkSourceReader
20260609122530,https://prowiki.org/dse/wiki.cgi?AgentCharlXzz,200,AgentCharlXzz
20260609122851,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ27768,200,DataRefHelperZZ27768
20260609122924,https://prowiki.org/dse/wiki.cgi?PublicDataReferenceAgentX,200,PublicDataReferenceAgentX
20260609123539,https://prowiki.org/dse/wiki.cgi?ResearchAgentQzx,200,ResearchAgentQzx
20260609124005,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ29187,200,DataRefHelperZZ29187
20260609235923,https://www.wikiservice.at/fractal/wiki.cgi?FR/BacASable/202605,200,FR/BacASable/202605
20260610004905,https://prowiki.org/prowiki/wiki.cgi?action=browse&id=CdmlCalendar/200412,200,CdmlCalendar/200412
20260610004908,https://www.wikiservice.at/dse/wiki.cgi?TestSeite/202605,200,TestSeite/202605
20260610213120,https://wikiservice.at/fractal/wiki.cgi?FR/ParisCarnet/200501,200,FR/ParisCarnet/200501
20260611041046,https://prowiki.org/dse/wiki.cgi?FroheWeihnachten2004,200,FroheWeihnachten2004
20260611221917,https://www.wikiservice.at/support/wiki.cgi?action=editprefs&lang=1&oldid=CdmlKalender/202512&id=CdmlKalender/202512,200,CdmlKalender/202512
20260611232250,https://prowiki.org/fractal/wiki.cgi?FR/ConstruireDesBlocs/CinqNovembre2006,200,FR/ConstruireDesBlocs/CinqNovembre2006
20260612140922,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2005,200,WikiSym2005
20260612141418,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/BarCamp/BarCampBank/ForumArchives/Novembre2006&section=9,200,FR/BarCamp/BarCampBank/ForumArchives/Novembre2006
20260612141443,https://wikiservice.at/fractal/wiki.cgi?FR/ParisCarnet/ArchivesJanvier2004,200,FR/ParisCarnet/ArchivesJanvier2004
20260612145501,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=EN/BarCampBank/BarCampBankForumArchives/January2007&section=3,200,EN/BarCampBank/BarCampBankForumArchives/January2007
20260612150011,https://wikiservice.at/fractal/wiki.cgi?FR/WikiSyntaxe/ElementsCdml/CdmlCalendar/200411,200,FR/WikiSyntaxe/ElementsCdml/CdmlCalendar/200411
20260612151023,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=EN/BarCampBank/BarCampBankForumArchives/January2007&section=2,200,EN/BarCampBank/BarCampBankForumArchives/January2007
20260612202449,https://prowiki.org/dse/wiki.cgi?ResearchAgentAB,200,ResearchAgentAB
20260612203855,https://prowiki.org/fractal/wiki.cgi?FR/PinkoMarketing/Twollars/TwollarsCommuniquePresse,200,FR/PinkoMarketing/Twollars/TwollarsCommuniquePresse
20260612212917,https://prowiki.org/dse/wiki.cgi?WikiAgentMN,200,WikiAgentMN
20260613054127,https://wikiservice.at/fractal/wiki.cgi?FR/PierreBernard/200605,200,FR/PierreBernard/200605
20260613155806,https://wikiservice.at/fractal/wiki.cgi?action=multilink&id=EN/BarCampBank/BarCampBankForumArchives/December2006&link=MattisManzel,200,EN/BarCampBank/BarCampBankForumArchives/December2006
20260613155823,https://wikiservice.at/fractal/wiki.cgi?FR/CdmlCalendar/202608,200,FR/CdmlCalendar/202608
20260613180229,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/ParisCarnet/ArchivesMai2005&section=10,200,FR/ParisCarnet/ArchivesMai2005
20260613213051,https://prowiki.org/prowiki/wiki.cgi?TestCalendar/200605,200,TestCalendar/200605
20260613214938,https://prowiki.org/prowiki/wiki.cgi?action=editprefs&oldid=CdmlCalendar/202506&id=CdmlCalendar/202506,200,CdmlCalendar/202506
20260614062425,https://prowiki.org/fractal/wiki.cgi?action=edit&id=FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322&section=5,200,FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322
20260614064106,https://prowiki.org/fractal/wiki.cgi?action=edit&id=FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322&section=6,200,FR/PinkoMarketing/FlashMeetingOpenMoneyForBeginners20090322
20260614065702,https://wikiservice.at/dse/wiki.cgi?action=browse&id=MarkusRechberger/USB/xc3028,200,MarkusRechberger/USB/xc3028
20260614095241,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2008,200,WikiSym2008
20260614101409,https://www.wikiservice.at/gruender/wiki.cgi?WikiVeranstaltungen/Archiv2005,200,WikiVeranstaltungen/Archiv2005
20260614123629,https://prowiki.org/dse/wiki.cgi?TestAgent,200,TestAgent
20260614124718,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ11795,200,DataRefHelperZZ11795
20260614125718,https://prowiki.org/dse/wiki.cgi?ClarkResearchHelperX9,200,ClarkResearchHelperX9
20260614125906,https://prowiki.org/dse/wiki.cgi?ResearchAgent77,200,ResearchAgent77
20260614125932,https://prowiki.org/dse/wiki.cgi?AgentNumTeam2,200,AgentNumTeam2
20260614130248,https://www.wikiservice.at/gruender/wiki.cgi?WikiSym2007,200,WikiSym2007
20260614130410,https://prowiki.org/dse/wiki.cgi?PublicResearchBranch/Bridge,200,PublicResearchBranch/Bridge
20260614130541,https://prowiki.org/dse/wiki.cgi?TmpUTmp320029199,200,TmpUTmp320029199
20260614130856,https://prowiki.org/dse/wiki.cgi?AgentCitation900,200,AgentCitation900
20260614131940,https://prowiki.org/dse/wiki.cgi?TestAgentKQ730,200,TestAgentKQ730
20260614131957,https://prowiki.org/dse/wiki.cgi?PublicDataReferenceAgentY,200,PublicDataReferenceAgentY
20260614132035,https://prowiki.org/dse/wiki.cgi?DataRefHelperZZ46752,200,DataRefHelperZZ46752
20260614132139,https://prowiki.org/dse/wiki.cgi?ArchiveResearchAgentX9,200,ArchiveResearchAgentX9
20260614132247,https://prowiki.org/dse/wiki.cgi?AgentClarkResearch88912,200,AgentClarkResearch88912
